date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:46	155/155	---M--	200	added ('OK')	text/plain	etag:%2204fdb1647b4da1:0%22	https://histologyguide.com/robots.txt		(from )
15:18:47	16803/16803	---M-Z	200	added ('OK')	text/html	etag:%22809e15ed0dcdc1:0%22	https://histologyguide.com/	C:/sitedeneme2/histodeneme/histologyguide.com/index.html	(from )
15:19:07	447065/447065	---MC-	200	added ('OK')	application/javascript	date:Mon,%2025%20May%202026%2012:18:56%20GMT	https://www.googletagmanager.com/gtag/js?id=G-GMM6B02G5T	C:/sitedeneme2/histodeneme/www.googletagmanager.com/gtag/js0aa4	(from https://histologyguide.com/)
15:19:07	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%220c4d7f686efd61:0%22	https://histologyguide.com/imgs/favicon.ico	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/favicon.ico	(from https://histologyguide.com/)
15:19:08	1594/1594	---M--	200	added ('OK')	image/png	etag:%220c4d7f686efd61:0%22	https://histologyguide.com/imgs/favicon-32x32.png	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/favicon-32x32.png	(from https://histologyguide.com/)
15:19:09	16565/16565	---M--	200	added ('OK')	image/png	etag:%220c4d7f686efd61:0%22	https://histologyguide.com/imgs/favicon-180x180.png	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/favicon-180x180.png	(from https://histologyguide.com/)
15:19:18	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20May%202026%2012:19:18%20GMT	https://fonts.gstatic.com/	C:/sitedeneme2/histodeneme/fonts.gstatic.com/index.html	(from https://histologyguide.com/)
15:19:27	464/464	---MC-	200	added ('OK')	text/css	date:Mon,%2025%20May%202026%2012:19:18%20GMT	https://fonts.googleapis.com/css2?family=Roboto+Flex:opsz,wght@8..144,100..1000&display=swap	C:/sitedeneme2/histodeneme/fonts.googleapis.com/css2d3f4.css	(from https://histologyguide.com/)
15:19:27	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20May%202026%2012:19:18%20GMT	https://fonts.googleapis.com/	C:/sitedeneme2/histodeneme/fonts.googleapis.com/index.html	(from https://histologyguide.com/)
15:19:28	11248/11248	---M--	200	added ('OK')	text/html	etag:%220bd19489ccdc1:0%22	https://histologyguide.com/about-us/about-us.html	C:/sitedeneme2/histodeneme/histologyguide.com/about-us/about-us.html	(from https://histologyguide.com/)
15:19:29	7216/7216	---M--	200	added ('OK')	text/html	etag:%220bd19489ccdc1:0%22	https://histologyguide.com/about-us/contact-us.html	C:/sitedeneme2/histodeneme/histologyguide.com/about-us/contact-us.html	(from https://histologyguide.com/)
15:19:30	8932/8932	---M--	200	added ('OK')	text/html	etag:%220bd19489ccdc1:0%22	https://histologyguide.com/about-us/license.html	C:/sitedeneme2/histodeneme/histologyguide.com/about-us/license.html	(from https://histologyguide.com/)
15:19:31	19257/19257	---M-Z	200	added ('OK')	text/html	etag:%220d42081edccdc1:0%22	https://histologyguide.com/slidebox/slidebox.html	C:/sitedeneme2/histodeneme/histologyguide.com/slidebox/slidebox.html	(from https://histologyguide.com/)
15:19:47	18189/18189	---M-Z	200	added ('OK')	text/html	etag:%22090d09289ccdc1:0%22	https://histologyguide.com/gallery/gallery.html	C:/sitedeneme2/histodeneme/histologyguide.com/gallery/gallery.html	(from https://histologyguide.com/)
15:19:48	17745/17745	---M--	200	added ('OK')	text/html	etag:%220bd19489ccdc1:0%22	https://histologyguide.com/EM-atlas/EM-atlas.html	C:/sitedeneme2/histodeneme/histologyguide.com/EM-atlas/EM-atlas.html	(from https://histologyguide.com/)
15:19:50	18497/18497	---M--	200	added ('OK')	text/html	etag:%22090d09289ccdc1:0%22	https://histologyguide.com/quizzes/quizzes.html	C:/sitedeneme2/histodeneme/histologyguide.com/quizzes/quizzes.html	(from https://histologyguide.com/)
15:19:51	71979/71979	---M--	200	added ('OK')	text/html	etag:%220bd19489ccdc1:0%22	https://histologyguide.com/index/index-A.html	C:/sitedeneme2/histodeneme/histologyguide.com/index/index-A.html	(from https://histologyguide.com/)
15:20:06	402076/402076	---M-Z	200	added ('OK')	text/html	etag:%22090d09289ccdc1:0%22	https://histologyguide.com/search.html	C:/sitedeneme2/histodeneme/histologyguide.com/search.html	(from https://histologyguide.com/)
15:20:08	9899/9899	---M--	200	added ('OK')	text/html	etag:%22090d09289ccdc1:0%22	https://histologyguide.com/help.html	C:/sitedeneme2/histodeneme/histologyguide.com/help.html	(from https://histologyguide.com/)
15:20:10	248837/248837	---M--	200	added ('OK')	application/pdf	etag:%220ca68a15ac5dc1:0%22	https://histologyguide.com/Histology-Guide-User-Guide-1.1.pdf	C:/sitedeneme2/histodeneme/histologyguide.com/Histology-Guide-User-Guide-1.1.pdf	(from https://histologyguide.com/)
15:20:10	164889/164889	---M--	200	added ('OK')	image/jpeg	etag:%220a25a6319b3db1:0%22	https://histologyguide.com/imgs/MH-094hr-parotid.jpg	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/MH-094hr-parotid.jpg	(from https://histologyguide.com/)
15:20:27	209682/209682	---M--	200	added ('OK')	image/jpeg	etag:%22015bacdeb3db1:0%22	https://histologyguide.com/imgs/EM-398c-pyramidal-neuron.jpg	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/EM-398c-pyramidal-neuron.jpg	(from https://histologyguide.com/)
15:20:29	252393/252393	---M--	200	added ('OK')	image/jpeg	etag:%2201936a516b3db1:0%22	https://histologyguide.com/imgs/MHS-259-ovary.jpg	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/MHS-259-ovary.jpg	(from https://histologyguide.com/)
15:20:30	173770/173770	---M--	200	added ('OK')	image/jpeg	etag:%2202e3bd1cb3db1:0%22	https://histologyguide.com/imgs/EM-225c-kidney-glomerulus.jpg	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/EM-225c-kidney-glomerulus.jpg	(from https://histologyguide.com/)
15:20:30	51757/51757	---M--	200	added ('OK')	image/jpeg	etag:%220e3767e14b3db1:0%22	https://histologyguide.com/imgs/MHS-229-eye.jpg	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/MHS-229-eye.jpg	(from https://histologyguide.com/)
15:20:47	205572/205572	---M--	200	added ('OK')	image/jpeg	etag:%2207d43d7eb3db1:0%22	https://histologyguide.com/imgs/EM-368c-sarcomere.jpg	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/EM-368c-sarcomere.jpg	(from https://histologyguide.com/)
15:20:49	87872/87872	---M--	200	added ('OK')	image/jpeg	etag:%220f3b5d31ab3db1:0%22	https://histologyguide.com/imgs/MH-033hr-blood-smear.jpg	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/MH-033hr-blood-smear.jpg	(from https://histologyguide.com/)
15:20:50	136673/136673	---M--	200	added ('OK')	image/jpeg	etag:%2207a87ebeb3db1:0%22	https://histologyguide.com/imgs/EM-107c-adipose-tissue.jpg	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/EM-107c-adipose-tissue.jpg	(from https://histologyguide.com/)
15:21:07	177777/177777	---M--	200	added ('OK')	image/jpeg	etag:%22023effb15b3db1:0%22	https://histologyguide.com/imgs/MHS-202-ground-bone.jpg	C:/sitedeneme2/histodeneme/histologyguide.com/imgs/MHS-202-ground-bone.jpg	(from https://histologyguide.com/)
